Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-422918.529975302,1,54000,28800
3600,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-424019.129975302,1,54000,36000
7200,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-425140.529975302,1,61200,36000
10800,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-426351.929975302,1,54000,25200
14400,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-427723.329975302,1,64800,39600
18000,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-402754.954768691,1,68400,28800
21600,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,114772.815186462,1,64800,36000
25200,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,537926.007472963,1,57600,39600
28800,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,552141.148519795,1,NaN,NaN
32400,1,1,1,1,1,-0,0,63294.6763872673,-0,1,1,275022.579043212,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0.000104850331808848,1,1,156968.171544756,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,182778.279825948,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,176363.998106573,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,239250.752376546,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-0,1,1,209366.685709879,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,223563.106646517,1,NaN,NaN
57600,1,1,1,1,1,-221564.115826991,0,-312500,-0,1,1,183323.441699226,1,NaN,NaN
61200,1,1,1,1,1,47556.6000974869,0,141613.688247162,-0,1,1,164789.747313184,1,NaN,NaN
64800,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-56611.8291488555,1,NaN,NaN
68400,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,114944.104184478,1,NaN,NaN
72000,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,3546.31189797574,1,NaN,NaN
75600,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-192792.954768691,1,NaN,NaN
79200,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-338657.421435358,1,NaN,NaN
82800,1,1,1,1,1,146357.679681387,0,141613.688247162,-0,1,1,-458491.709038663,1,NaN,NaN
