Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,-0,0,-0,-0,1,1,4520.71660837567,1,50400,46800
3600,1,1,1,1,1,-0,0,-0,-0,1,1,4296.51994170901,1,NaN,NaN
7200,1,1,1,1,1,-0,0,-0,-0,1,1,102832.876608376,1,NaN,NaN
10800,1,1,1,1,1,-0,0,-0,-0,1,1,122523.636608376,1,NaN,NaN
14400,1,1,1,1,1,-0,0,-0,-0,1,1,121236.056608376,1,NaN,NaN
18000,1,1,1,1,1,-0,0,-0,-0,1,1,118713.299941709,1,NaN,NaN
21600,1,1,1,1,1,-0,0,-0,-2390.47995696745,1,1,-548.236767990211,1,NaN,NaN
25200,1,1,1,1,1,-0,0,-0,-6619.56995696745,1,1,-4816.52343465688,1,NaN,NaN
28800,1,1,1,1,1,-0,0,-0,-86795.6999569675,1,1,-84953.4567679902,1,NaN,NaN
32400,1,1,1,1,1,-0,0,-0,-58371.1999569674,1,1,-56489.7601013235,1,NaN,NaN
36000,1,1,1,1,1,-0,0,-0,-504834.999956967,1,1,-503698.29676799,1,NaN,NaN
39600,1,1,1,1,1,-0,0,-0,-391819.999956967,1,1,-390448.11676799,1,NaN,NaN
43200,1,1,1,1,1,-0,0,-0,-803702.999956967,1,1,-802566.29676799,1,NaN,NaN
46800,1,1,1,1,1,-0,0,-0,-820929.999956967,1,1,-819597.313434657,1,NaN,NaN
50400,1,1,1,1,1,-0,0,-0,-522220.999956967,1,1,-520613.93676799,1,NaN,NaN
54000,1,1,1,1,1,-0,0,-0,-609019.999956967,1,1,-607648.11676799,1,NaN,NaN
57600,1,1,1,1,1,-0,0,-0,-544318.999956967,1,1,-543182.29676799,1,NaN,NaN
61200,1,1,1,1,1,-0,0,-0,-246886.999956967,1,1,-245789.493434657,1,NaN,NaN
64800,1,1,1,1,1,-0,0,-0,-194905.999956967,1,1,-193534.11676799,1,NaN,NaN
68400,1,1,1,1,1,-0,0,-0,-0,1,1,16256.5266083757,1,NaN,NaN
72000,1,1,1,1,1,-0,0,-0,-0,1,1,14308.1632750423,1,NaN,NaN
75600,1,1,1,1,1,-0,0,-0,-0,1,1,7044.39994170901,1,NaN,NaN
79200,1,1,1,1,1,-0,0,-0,-0,1,1,4311.37994170901,1,NaN,NaN
82800,1,1,1,1,1,-0,0,-0,-0,1,1,5303.43660837567,1,NaN,NaN
