Time,WG_PPMp_swPP,PV_PPMp_swPP,Cbu_NSCp_swPP,CEV_SCp_swPP,CPl_SCp_swPP,BAT_ESSm_PP,SC_ESSm_PP,HP_ESSm_PP,CSP_MS_STPwtRK_PP,RC_SPMp_swPP,TPS_MS_STPnoRK_swPP,PCM_ESS_PP,Ctbu_TCp_swPP,CEV_SCp_tON,CPl_SCp_tON
0,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-435993.577202819,1,57600,39600
3600,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-437733.377202819,1,54000,25200
7200,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-439160.177202819,1,50400,50400
10800,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-440424.177202819,1,54000,50400
14400,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-441081.177202819,1,57600,46800
18000,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-415450.401996207,1,50400,32400
21600,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,103439.567958946,1,61200,39600
25200,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,526385.760245447,1,57600,25200
28800,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,540756.301292279,1,NaN,NaN
32400,1,1,1,1,1,79169.6763872673,0,136718.75,-0,1,1,342148.971815696,1,NaN,NaN
36000,1,1,1,1,1,-312500,0,-312500,-0,1,1,220513.284212389,1,NaN,NaN
39600,1,1,1,1,1,-312500,0,-312500,-0,1,1,255452.592598431,1,NaN,NaN
43200,1,1,1,1,1,-312500,0,-312500,-0,1,1,209588.150879056,1,NaN,NaN
46800,1,1,1,1,1,-312500,0,-312500,-0,1,1,208864.505149029,1,NaN,NaN
50400,1,1,1,1,1,-312500,0,-312500,-4.36208492260448e-05,1,1,107209.104525983,1,NaN,NaN
54000,1,1,1,1,1,-312500,0,-312500,-0,1,1,206222.259419001,1,NaN,NaN
57600,1,1,1,1,1,-204623.490826991,0,-312500,-0,1,1,251015.234471709,1,NaN,NaN
61200,1,1,1,1,1,60698.4133446488,0,136718.75,-0,1,1,230774.926085667,1,NaN,NaN
64800,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-39760.2763763721,1,NaN,NaN
68400,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,85174.8569569613,1,NaN,NaN
72000,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-25203.5353295408,1,NaN,NaN
75600,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-220992.001996208,1,NaN,NaN
79200,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-366205.468662874,1,NaN,NaN
82800,1,1,1,1,1,138553.95722203,0,136718.75,-0,1,1,-487076.15626618,1,NaN,NaN
