Time,EP_con_kWh,EP_gen_kWh
0,0.20450896566,0.14516
3600,0.17135284798,0.11463
7200,0.17269832002,0.1136
10800,0.15607209448,0.09737
14400,0.1590835465,0.09718
18000,0.1572845215,0.09513
21600,0.15887060734,0.09718
25200,0.15757741874,0.09752
28800,0.15618469486,0.09753
32400,0.11895884008,0.06948
36000,0.12205786174,0.07616
39600,0.12797336486,0.08327
43200,0.13989974028,0.094
46800,0.14194957342,0.09615
50400,0.14348279214,0.09712
54000,0.14768963446,0.09821
57600,0.17214064906,0.11423
61200,0.21223649208,0.1492
64800,0.24073591608,0.17528
68400,0.24432826864,0.185
72000,0.24710986236,0.18695
75600,0.2483794035,0.18835
79200,0.24888431938,0.18582
82800,0.22910337226,0.16601
86400,0.18621004352,0.13248
90000,0.16859490184,0.11553
93600,0.16436498644,0.11025
97200,0.16880413846,0.11273
100800,0.17314533676,0.11555
104400,0.1675282329,0.11025
108000,0.17080904902,0.11555
111600,0.18378327328,0.12884
115200,0.16547619384,0.11576
118800,0.16064253436,0.11574
122400,0.15361590232,0.11285
126000,0.14137188502,0.10353
129600,0.14113225474,0.10351
133200,0.14785347502,0.11035
136800,0.15448686874,0.11582
140400,0.14814059662,0.10933
144000,0.15992857264,0.1157
147600,0.21036624808,0.15952
151200,0.25284754236,0.19398
154800,0.25533754836,0.19773
158400,0.26747607022,0.20811
162000,0.26810756436,0.20883
165600,0.2476958535,0.19109
169200,0.23227221322,0.17768
172800,0.2374076771,0.18085
176400,0.21514176928,0.16031
180000,0.20870642644,0.15413
183600,0.20375262988,0.14936
187200,0.19648578802,0.14367
190800,0.20067975242,0.14809
194400,0.20287077706,0.15327
198000,0.206644432,0.16035
201600,0.26511462182,0.18844
205200,0.2579750141,0.18294
208800,0.29867582452,0.16037
212400,0.28836760252,0.15182
216000,0.28407183566,0.14841
219600,0.27618709252,0.14163
223200,0.18977458994,0.12719
226800,0.17326167138,0.11291
230400,0.19030489024,0.1267
234000,0.21717416168,0.14827
237600,0.31965840442,0.17479
241200,0.32647597514,0.17973
244800,0.2951620963,0.1537
248400,0.28110356974,0.1418
252000,0.1793330806,0.11437
255600,0.16470606762,0.10063
259200,0.17465329264,0.1252
262800,0.16391335738,0.11533
266400,0.16168400254,0.11307
